Date,BAC,SPY
03/12/2012,11.58,139.59
01/11/2012,9.82,138.36
01/10/2012,9.28,137.58
04/09/2012,8.79,140.13
01/08/2012,7.95,136.66
02/07/2012,7.3,133.32
01/06/2012,8.14,131.76
01/05/2012,7.31,126.62
02/04/2012,8.06,134.72
01/03/2012,9.51,135.62
01/02/2012,7.92,131.39
03/01/2012,7.07,125.93
01/12/2011,5.52,120.35
01/11/2011,5.4,119.1
03/10/2011,6.76,119.59
01/09/2011,6.06,107.82
01/08/2011,8.09,115.86
01/07/2011,9.6,122.6
01/06/2011,10.84,125.11
02/05/2011,11.61,127.25
01/04/2011,12.13,128.7
01/03/2011,13.17,125.07
01/02/2011,14.11,125.06
03/01/2011,13.56,120.86
01/12/2010,13.17,118.11
01/11/2010,10.8,110.71
01/10/2010,11.3,110.71
01/09/2010,12.92,106.63
02/08/2010,12.28,97.87
01/07/2010,13.84,102.48
01/06/2010,14.17,95.93
03/05/2010,15.51,101.16
01/04/2010,17.57,109.89
01/03/2010,17.58,108.22
01/02/2010,16.4,102.01
04/01/2010,14.95,98.92
01/12/2009,14.83,102.65
02/11/2009,15.6,100.73
01/10/2009,14.35,94.88
01/09/2009,16.65,96.74
03/08/2009,17.3,93.43
01/07/2009,14.54,90.1
01/06/2009,12.98,83.85
01/05/2009,11.07,83.9
01/04/2009,8.77,79.27
02/03/2009,6.7,72.11
02/02/2009,3.87,66.56
02/01/2009,6.45,74.57
01/12/2008,13.8,81.24
03/11/2008,15.57,80.46
01/10/2008,23.15,86.48
02/09/2008,33.53,103.59
01/08/2008,29.25,114.36
01/07/2008,30.9,112.62
02/06/2008,22.42,113.64
01/05/2008,31.33,124
01/04/2008,34.58,122.15
03/03/2008,34.92,116.6
01/02/2008,36,117.65
02/01/2008,40,120.77
03/12/2007,37.38,128.54
01/11/2007,41.19,130
01/10/2007,43.11,135.24
04/09/2007,44.89,133.43
01/08/2007,44.69,128.46
02/07/2007,41.81,126.83
01/06/2007,43.11,130.93
01/05/2007,44.71,132.87
02/04/2007,44.39,128.51
01/03/2007,44.5,123.06
01/02/2007,44.33,121.65
03/01/2007,45.35,124.09
01/12/2006,46.05,122.25
01/11/2006,46.45,120.64
02/10/2006,45.98,118.28
01/09/2006,45.73,114.67
01/08/2006,43.94,111.66
03/07/2006,43.52,109.27
01/06/2006,40.62,108.78
01/05/2006,40.87,108.5
03/04/2006,41.72,111.87
01/03/2006,38.06,110.47
01/02/2006,37.9,108.68
03/01/2006,36.56,108.06
01/12/2005,38.15,105.53
01/11/2005,37.94,105.73
03/10/2005,35.77,101.28
01/09/2005,34.43,103.73
01/08/2005,35.19,102.91
01/07/2005,35.24,103.88
01/06/2005,36.87,100.05
02/05/2005,37.08,99.9
01/04/2005,36.05,96.78
01/03/2005,35.3,98.63
01/02/2005,36.99,100.47
03/01/2005,36.76,98.41
01/12/2004,37.26,100.67
01/11/2004,36.33,97.72
01/10/2004,35.17,93.56
01/09/2004,34.02,92.37
02/08/2004,34.96,91.45
01/07/2004,33.04,91.23
01/06/2004,32.89,94.27
03/05/2004,32,92.55
01/04/2004,30.98,91
01/03/2004,31.17,92.75
02/02/2004,31.23,94
02/01/2004,31.05,92.74
01/12/2003,30.66,90.94
03/11/2003,28.45,86.58
01/10/2003,28.56,85.65
02/09/2003,29.44,81.3
01/08/2003,29.59,82.19
01/07/2003,30.83,80.53
02/06/2003,29.51,79.11
01/05/2003,27.47,78.27
01/04/2003,27.42,74.2
03/03/2003,24.75,68.41
03/02/2003,25.39,68.27
02/01/2003,25.69,69.2
02/12/2002,25.51,70.95
01/11/2002,25.46,75.2
01/10/2002,25.36,70.83
03/09/2002,23.18,65.45
01/08/2002,25.24,73.11
01/07/2002,23.95,72.62
03/06/2002,25.34,78.83
01/05/2002,27.08,85.11
01/04/2002,25.89,85.62
01/03/2002,24.3,90.91
01/02/2002,22.84,87.98
02/01/2002,22.3,89.59
03/12/2001,22.27,90.47
01/11/2001,21.51,89.97
01/10/2001,20.67,83.46
04/09/2001,20.47,82.39
01/08/2001,21.36,89.71
02/07/2001,22.09,95.37
01/06/2001,20.85,96.35
01/05/2001,20.58,98.7
02/04/2001,19.26,99.26
01/03/2001,18.83,91.44
01/02/2001,17.44,96.87
02/01/2001,18.31,107.09
01/12/2000,15.61,102.53
01/11/2000,13.59,103.11
02/10/2000,16.13,111.42
01/09/2000,17.58,111.95
01/08/2000,17.98,118.44
03/07/2000,15.74,111.18
01/06/2000,14.29,112.96
01/05/2000,18.42,110.77
03/04/2000,16.13,112.54
01/03/2000,17.26,116.65
01/02/2000,14.98,106.34
03/01/2000,15.77,107.98
