Date,BAC,SPY,LIBOR3MUSD
03/12/2012,11.58,139.59,0.30947
01/11/2012,9.82,138.36,0.31102
01/10/2012,9.28,137.58,0.33049
04/09/2012,8.79,140.13,0.38563
01/08/2012,7.95,136.66,0.43260
02/07/2012,7.3,133.32,0.45355
01/06/2012,8.14,131.76,0.46559
01/05/2012,7.31,126.62,0.46653
02/04/2012,8.06,134.72,0.46681
01/03/2012,9.51,135.62,0.47329
01/02/2012,7.92,131.39,0.50324
03/01/2012,7.07,125.93,0.56590
01/12/2011,5.52,120.35,0.55574
01/11/2011,5.4,119.1,0.47529
03/10/2011,6.76,119.59,0.40648
01/09/2011,6.06,107.82,0.35023
01/08/2011,8.09,115.86,0.29324
01/07/2011,9.6,122.6,0.24991
01/06/2011,10.84,125.11,0.24782
02/05/2011,11.61,127.25,0.26071
01/04/2011,12.13,128.7,0.28138
01/03/2011,13.17,125.07,0.30843
01/02/2011,14.11,125.06,0.31190
03/01/2011,13.56,120.86,0.30341
01/12/2010,13.17,118.11,0.30272
01/11/2010,10.8,110.71,0.28712
01/10/2010,11.3,110.71,0.28884
01/09/2010,12.92,106.63,0.29137
02/08/2010,12.28,97.87,0.36255
01/07/2010,13.84,102.48,0.51033
01/06/2010,14.17,95.93,0.53690
03/05/2010,15.51,101.16,0.45851
01/04/2010,17.57,109.89,0.31161
01/03/2010,17.58,108.22,0.26842
01/02/2010,16.4,102.01,0.25052
04/01/2010,14.95,98.92,0.25012
01/12/2009,14.83,102.65,0.25305
02/11/2009,15.6,100.73,0.26814
01/10/2009,14.35,94.88,0.28308
01/09/2009,16.65,96.74,0.29795
03/08/2009,17.3,93.43,0.42452
01/07/2009,14.54,90.1,0.51533
01/06/2009,12.98,83.85,0.62071
01/05/2009,11.07,83.9,0.81503
01/04/2009,8.77,79.27,1.10622
02/03/2009,6.7,72.11,1.26674
02/02/2009,3.87,66.56,1.24263
02/01/2009,6.45,74.57,1.21081
01/12/2008,13.8,81.24,1.82935
03/11/2008,15.57,80.46,2.27906
01/10/2008,23.15,86.48,4.05859
02/09/2008,33.53,103.59,3.12168
01/08/2008,29.25,114.36,2.80625
01/07/2008,30.9,112.62,2.79234
02/06/2008,22.42,113.64,2.76539
01/05/2008,31.33,124,2.69238
01/04/2008,34.58,122.15,2.79466
03/03/2008,34.92,116.6,2.78250
01/02/2008,36,117.65,3.08759
02/01/2008,40,120.77,3.91764
03/12/2007,37.38,128.54,4.97941
01/11/2007,41.19,130,4.96208
01/10/2007,43.11,135.24,5.14652
04/09/2007,44.89,133.43,5.49394
01/08/2007,44.69,128.46,5.48271
02/07/2007,41.81,126.83,5.35966
01/06/2007,43.11,130.93,5.36000
01/05/2007,44.71,132.87,5.35891
02/04/2007,44.39,128.51,5.35476
01/03/2007,44.5,123.06,5.34715
01/02/2007,44.33,121.65,5.35941
03/01/2007,45.35,124.09,5.36001
01/12/2006,46.05,122.25,5.35997
01/11/2006,46.45,120.64,5.37208
02/10/2006,45.98,118.28,5.37334
01/09/2006,45.73,114.67,5.38366
01/08/2006,43.94,111.66,5.42070
03/07/2006,43.52,109.27,5.49533
01/06/2006,40.62,108.78,5.38480
01/05/2006,40.87,108.5,5.18551
